italian,spanish
nessuno,nadie
via,vía
cos',qué
fai,haces
signore,señor
meglio,mejor
cazzo,carajo
dai,vamos
dal,del
vuole,quiere
sembra,parece
giorno,día
ogni,cada
modo,modo
senza,sin
vedere,ver
dobbiamo,debemos
signor,señor
qualche,algún
dispiace,lo siento
penso,pienso
ecco,aquí está
parlare,hablar
tra,entre
mamma,mamá
già,ya
sarebbe,sería
dalla,de la
troppo,demasiado
fosse,fuera
possiamo,podemos
ce,nos
nuovo,nuevo
male,mal
madre,madre
avete,tenéis
tanto,tanto
favore,favor
successo,sucedido
vai,ve
sulla,sobre la
giusto,correcto
sa,sabe
miei,míos
aspetta,espera
avere,tener
altra,otra
farlo,hacerlo
alle,a las
facendo,haciendo
abbia,tenga
momento,momento
ero,era
aveva,tenía
ragazzi,chicos
deve,debe
persone,personas
nostro,nuestro
tipo,tipo
prego,de nada
grande,grande
può,puede
senti,oye
appena,apenas
potrebbe,podría
soldi,dinero
dice,dice
sapere,saber
tre,tres
oggi,hoy
questi,estos
piace,gusta
idea,idea
siete,sois
ai,a los
avevo,tenía
figlio,hijo
accordo,acuerdo
gente,gente
sicuro,seguro
vieni,ven
degli,de los
guarda,mira
dentro,dentro
trovato,encontrado
queste,estas
caso,caso
forza,fuerza
dov',dónde
tutte,todas
pensi,piensas
signora,señora
faccio,hago
nome,nombre
avuto,tenido
problema,problema
altri,otros
puo,puede
aver,haber
mondo,mundo
tutta,toda
preso,tomado
nulla,nada
nostra,nuestra
donna,mujer
stare,estar
basta,basta
insieme,juntos
faccia,cara
ragazza,chica
subito,enseguida
famiglia,familia
ragazzo,chico
volevo,quería
okay,vale
sentito,oído
ah,ah
stesso,mismo
ragione,razón
sarà,será
tuoi,tuyos
capito,entendido
notte,noche
volte,veces
testa,cabeza
serve,sirve
tesoro,cariño
sotto,debajo
eh,eh
suoi,suyos
vado,voy
sara,será
dato,dado
stiamo,estamos
bella,bella
scusa,perdón
erano,eran
pensavo,pensaba
avrei,habría
prendere,tomar
buona,buena
porta,puerta
bello,bonito
moglie,esposa
vorrei,quisiera
storia,historia
succede,pasa
morto,muerto
cercando,buscando
dici,dices
persona,persona
pronto,listo
meno,menos
dovuto,debido
avanti,adelante
capisco,entiendo
secondo,segundo
venire,venir
polizia,policía
lì,allí
avrebbe,habría
stanno,están
mentre,mientras
letto,cama
fino,hasta
dico,digo
amici,amigos
fine,fin
aiuto,ayuda
paura,miedo
fratello,hermano
stavo,estaba
uomini,hombres
nell',en el
domani,mañana
facciamo,hacemos
abbastanza,bastante
capo,jefe
amore,amor
nei,en los
ucciso,matado
state,estáis
piano,despacio
macchina,coche
trovare,encontrar
comunque,de todos modos
vediamo,veamos
giorni,días
nemmeno,ni siquiera
mano,mano
dall',del
presto,pronto
stati,estados
merda,mierda
far,hacer
bambino,niño
andato,ido
vedo,veo
tornare,volver
quelle,esas
cio,eso
primo,primero
vostro,vuestro
neanche,tampoco
sera,tarde
giro,vuelta
morte,muerte
e',es
qua,acá
pensato,pensado
buon,buen
anno,año
mie,mías
diavolo,diablo
quasi,casi
piacere,placer
bel,bonito
dovrei,debería
nessun,ningún
contro,contra
stessa,misma
felice,feliz
colpa,culpa
punto,punto
andata,ida
dovrebbe,debería
vedi,ves
quale,cuál
chiesto,pedido
invece,en cambio
perchè,porque
migliore,mejor
nostri,nuestros
finito,terminado
figlia,hija
dovresti,deberías
papa,papá
almeno,al menos
sento,siento
quei,esos
col,con el
ore,horas
passato,pasado
magari,ojalá
minuti,minutos
terra,tierra
vostra,vuestra
strada,calle
sola,sola
credi,crees
importante,importante
sue,suyas
salve,hola
settimana,semana
perso,perdido
uscire,salir
parlato,hablado
papà,papá
stasera,esta noche
scusi,disculpe
dollari,dólares
occhi,ojos
mani,manos
ultima,última
possibile,posible
scuola,escuela
significa,significa
sapevo,sabía
nelle,en las
potrei,podría
stava,estaba
bambini,niños
eri,eras
importa,importa
indietro,atrás
riesco,logro
sangue,sangre
chiama,llama
messo,puesto
piccolo,pequeño
traduzione,traducción
tardi,tarde
cuore,corazón
marito,marido
viene,viene
venuto,venido
ieri,ayer
spero,espero
ricordi,recuerdas
quelli,esos
dovremmo,deberíamos
lasciato,dejado
ascolta,escucha
difficile,difícil
quell',ese
auto,auto
chiamato,llamado
ciò,eso
altre,otras
parlando,hablando
pensare,pensar
fantastico,fantástico
fatta,hecha
numero,número
veramente,realmente
fanno,hacen
com',como
serio,serio
possa,pueda
fossi,fuera
entrare,entrar
anch',también
qualsiasi,cualquier
pensa,piensa
dicendo,diciendo
acqua,agua
portato,llevado
stanza,habitación
problemi,problemas
forte,fuerte
nessuna,ninguna
lascia,deja
amo,amo
roba,cosas
agente,agente
dietro,detrás
corpo,cuerpo
pare,parece
sentire,sentir
foto,foto
telefono,teléfono
voleva,quería
poco,poco
prendi,toma
piccola,pequeña
vicino,cerca
quest',este
sacco,saco
stia,esté
capire,entender
potuto,podido
cinque,cinco
strano,extraño
tue,tuyas
andando,yendo
donne,mujeres
sappiamo,sabemos
bravo,bueno
ragazze,chicas
festa,fiesta
senso,sentido
genere,género
quattro,cuatro
dare,dar
attimo,instante
sorella,hermana
pure,también
probabilmente,probablemente
film,película
parla,habla
ufficio,oficina
verso,hacia
mesi,meses
farti,hacerte
unica,única
morire,morir
signorina,señorita
vecchio,viejo
domanda,pregunta
ben,bien
guerra,guerra
dottore,doctor
conosco,conozco
qual,cuál
vivere,vivir
vista,vista
prova,prueba
nuova,nueva
ricordo,recuerdo
divertente,divertido
avessi,tuviera
sicura,segura
paio,par
conto,cuenta
perdere,perder
dimmi,dime
farmi,hacerme
figli,hijos
mezzo,medio
lavorare,trabajar
unico,único
esattamente,exactamente
squadra,equipo
esatto,exacto
possono,pueden
fate,hacéis
faro,haré
sapete,sabéis
dottor,doctor
parola,palabra
piedi,pies
sopra,encima
motivo,motivo
avevi,tenías
cavolo,caray
capitano,capitán
finita,terminada
volete,queréis
siano,sean
potresti,podrías
gioco,juego
perfetto,perfecto
be,pues
mente,mente
mangiare,comer
resto,resto
credere,creer
fortuna,suerte
tratta,trata
chiamo,llamo
morta,muerta
là,allá
entrambi,ambos
avresti,tendrías
passare,pasar
cena,cena
sarei,sería
controllo,control
affari,negocios
spiace,lo siento
ultimo,último
facile,fácil
farò,haré
buongiorno,buenos días
davanti,delante
tizio,tipo
dammi,dame
sicurezza,seguridad
dalle,de las
quanti,cuántos
dica,diga
matrimonio,matrimonio
vogliono,quieren
molti,muchos
culo,culo
fuoco,fuego
cercare,buscar
pistola,pistola
potremmo,podríamos
re,rey
mandato,enviado
puttana,puta
negli,en los
cioe,o sea
inizio,comienzo
saranno,serán
causa,causa
voglia,ganas
mettere,poner
fammi,hazme
uccidere,matar
vogliamo,queremos
faremo,haremos
però,pero
genitori,padres
sesso,sexo
potete,podéis
ricevuto,recibido
vivo,vivo
presidente,presidente
città,ciudad
citta,ciudad
succedendo,pasando
ospedale,hospital
fu,fue
agli,a los
scritto,escrito
smettila,para ya
vada,vaya
attenzione,atención
sulle,sobre las
bere,beber
situazione,situación
omicidio,homicidio
revisione,revisión
avesse,tuviera
ottimo,excelente
cura,cura
durante,durante
provato,probado
parole,palabras
lasciare,dejar
dicono,dicen
prossima,próxima
nostre,nuestras
arrivato,llegado
paese,país
sull',sobre el
andate,id
chiunque,cualquiera
capisci,entiendes
pace,paz
immagino,imagino
musica,música
tieni,ten
oddio,dios mío
libro,libro
eravamo,éramos
amica,amiga
diventare,convertirse
sui,sobre los
sbagliato,equivocado
dirmi,decirme
wow,guau
farai,harás
entra,entra
venuta,venida
scelta,elección
voluto,querido
portare,llevar
assolutamente,absolutamente
molte,muchas
chiedo,pregunto
torna,vuelve
scoperto,descubierto
fatti,hechos
settimane,semanas
dirlo,decirlo
alcuni,algunos
prigione,prisión
giornata,día
piuttosto,más bien
buono,bueno
aspettare,esperar
parli,hablas
arrivare,llegar
lungo,largo
vede,ve
avvocato,abogado
deciso,decidido
sarai,serás
messaggio,mensaje
dormire,dormir
dieci,diez
stupido,estúpido
usare,usar
dello,del
cielo,cielo
guardare,mirar
bagno,baño
aria,aire
voce,voz
tornato,vuelto
vuol,quiere
giù,abajo
conosci,conoces
benissimo,muy bien
prendo,tomo
verita,verdad
cane,perro
restare,quedarse
chiamare,llamar
poter,poder
campo,campo
luce,luz
qualunque,cualquier
giovane,joven
signori,señores
fra,entre
provare,probar
minuto,minuto
saperlo,saberlo
lontano,lejos
gruppo,grupo
continua,continúa
arrivo,llegada
gran,gran
realta,realidad
cerca,busca
passo,paso
domande,preguntas
insomma,en fin
bambina,niña
pensando,pensando
capelli,cabello
trova,encuentra
onore,honor
aiutare,ayudar
verità,verdad
prove,pruebas
n',de ello
funziona,funciona
alto,alto
giu,abajo
credevo,creía
futuro,futuro
preoccuparti,preocuparte
idiota,idiota
cibo,comida
fretta,prisa
cara,querida
finalmente,por fin
morti,muertos
odio,odio
solito,habitual
brava,buena
é,es
incidente,accidente
allo,al
dev',debe
intenzione,intención
speciale,especial
cambiare,cambiar
vera,verdadera
camera,habitación
oltre,más allá
semplice,simple
dirti,decirte
riguardo,respecto
finche,hasta que
aspetto,espero
viaggio,viaje
chiaro,claro
chiamata,llamada
bocca,boca
permesso,permiso
piacerebbe,gustaría
dovete,debéis
giocare,jugar
ordine,orden
circa,alrededor de
ovviamente,obviamente
finire,terminar
piu',más
natale,Navidad
direi,diría
vostri,vuestros
occhio,ojo
pronta,lista
scusami,perdóname
mattina,mañana
cercato,buscado
crede,cree
sistema,sistema
fondo,fondo
resta,queda
devono,deben
prossimo,próximo
pronti,listos
saputo,sabido
scusate,perdonen
potere,poder
milioni,millones
soltanto,solamente
armi,armas
arriva,llega
fermo,quieto
mese,mes
chiedere,preguntar
torno,vuelvo
venite,venid
controllare,controlar
appuntamento,cita
chiami,llamas
vecchia,vieja
detective,detective
pero,pero
metti,pon
grado,grado
vanno,van
nave,barco
iniziato,empezado
perche',porque
informazioni,información
libero,libre
stronzo,cabrón
grandi,grandes
pezzo,pieza
segreto,secreto
colpo,golpe
faceva,hacía
piacciono,gustan
porto,puerto
oppure,o bien
completamente,completamente
vederti,verte
lista,lista
venga,venga
veloce,rápido
assassino,asesino
sapeva,sabía
finché,hasta que
ormai,ya
interessa,interesa
generale,general
giusta,correcta
tenere,mantener
pazzo,loco
vittima,víctima
giuro,juro
consiglio,consejo
alcune,algunas
semplicemente,simplemente
zio,tío
centro,centro
specie,especie
mille,mil
sogno,sueño
lasci,dejes
carino,bonito
doveva,debía
brutto,feo
nello,en el
aspetti,esperas
incredibile,increíble
sole,sol
glielo,se lo
legge,ley
spesso,a menudo
guardate,miren
cambiato,cambiado
scena,escena
volevi,querías
lasciami,déjame
gentile,amable
rispetto,respeto
ve,os
fara,hará
zitto,callado
incontro,encuentro
farà,hará
servono,sirven
rapporto,relación
errore,error
sanno,saben
pagare,pagar
sorpresa,sorpresa
occhiata,vistazo
risposta,respuesta
presa,toma
servizio,servicio
medico,médico
usato,usado
hey,oye
caro,querido
schifo,asco
avrai,tendrás
dolore,dolor
saresti,serías
personale,personal
quali,cuáles
saro,seré
peggio,peor
addio,adiós
addosso,encima
dovevo,debía
poteva,podía
pieno,lleno
diverso,diferente
vestiti,ropa
sparato,disparado
realtà,realidad
do,doy
sarò,seré
normale,normal
fame,hambre
programma,programa
nonna,abuela
sappia,sepa
sembrava,parecía
migliori,mejores
notizie,noticias
avevamo,teníamos
riesci,logras
posizione,posición
vengo,vengo
rimanere,quedarse
compagnia,compañía
proposito,propósito
farci,hacernos
ricorda,recuerda
prende,toma
tante,tantas
avevano,tenían
arrivando,llegando
chiuso,cerrado
terribile,terrible
ritardo,retraso
attento,atento
bar,bar
sembri,pareces
fallo,hazlo
dimenticato,olvidado
bisogna,hay que
impossibile,imposible
cioè,es decir
studio,estudio
stessi,mismos
arma,arma
conosce,conoce
uscita,salida
fin,fin
disse,dijo
vattene,vete
quante,cuántas
guai,problemas
intorno,alrededor
video,video
manca,falta
esserci,estar ahí
grosso,grande
tanti,tantos
dolce,dulce
chiave,llave
cervello,cerebro
coraggio,valor
interessante,interesante
peccato,lástima
questione,cuestión
adoro,adoro
aereo,avión
guardi,miras
rubato,robado
sala,sala
base,base
sette,siete
sente,siente
compleanno,cumpleaños
potrebbero,podrían
relazione,relación
cliente,cliente
spalle,espaldas
seconda,segunda
parti,partes
